,시도,군구,선거인수,투표수,이재명,윤석열,이재명_득표율,윤석열_득표율,ID
53,대구,서구,149729.0,113904.0,19516.0,89620.0,17.133726647000984,78.6802921758674,대구 서구
54,대구,남구,129711.0,97962.0,19765.0,73865.0,20.17619076784876,75.40168636818359,대구 남구
55,대구,북구,373173.0,294832.0,66469.0,215861.0,22.544703424323004,73.21491561295925,대구 북구
56,대구,수성구,349945.0,285537.0,59379.0,216031.0,20.79555364103426,75.6577956622084,대구 수성
57,대구,달서구,466792.0,368662.0,77951.0,275155.0,21.14430019909836,74.63611655120408,대구 달서
58,대구,달성군,214088.0,166298.0,38882.0,120064.0,23.38091859192534,72.19810220207098,대구 달성
59,대전,동구,192350.0,142804.0,65555.0,70069.0,45.90557687459735,49.066552757625836,대전 동구
60,대전,중구,199637.0,151200.0,66698.0,77459.0,44.11243386243386,51.229497354497354,대전 중구
61,대전,서구,399599.0,304873.0,139877.0,150031.0,45.880415779685315,49.21098293387738,대전 서구
62,대전,유성구,288686.0,231027.0,108701.0,111342.0,47.05121046457773,48.194366892181435,대전 유성
63,대전,대덕구,152905.0,115404.0,54119.0,55159.0,46.89525493050501,47.7964368652733,대전 대덕
64,광주,동구,90678.0,73877.0,60669.0,11036.0,82.12163460887692,14.938343462782733,광주 동구
65,광주,서구,248147.0,202633.0,170357.0,26262.0,84.07169612057265,12.960376641514463,광주 서구
66,광주,남구,180643.0,148854.0,124572.0,19927.0,83.68737151840058,13.386942910502908,광주 남구
67,광주,북구,363088.0,295658.0,249976.0,36421.0,84.5490397689222,12.31862489768584,광주 북구
68,광주,광산구,326650.0,264470.0,224484.0,30865.0,84.88070480583809,11.670510832986729,광주 광산
69,울산,중구,182051.0,143171.0,54075.0,81399.0,37.76952036376082,56.8543909031857,울산 중구
70,울산,남구,268213.0,209589.0,77783.0,121304.0,37.11215760369103,57.87708324387253,울산 남구
71,울산,동구,127599.0,98491.0,44506.0,47065.0,45.18788518747906,47.78609213024541,울산 동구
72,울산,북구,175732.0,138319.0,64692.0,64597.0,46.770147268271174,46.70146545304694,울산 북구
73,울산,울주군,188615.0,145891.0,56078.0,81956.0,38.43828611771802,56.17618633089088,울산 울주
74,세종,세종특별자치시,288895.0,231832.0,119349.0,101491.0,51.48081369267401,43.77782187101004,세종
75,강원도,춘천시,243403.0,186646.0,82376.0,94926.0,44.1348863624187,50.85884508642028,춘천
76,강원도,원주시,302881.0,226239.0,100954.0,113560.0,44.62272198869338,50.19470559894624,원주
77,강원도,강릉시,185823.0,141724.0,54377.0,80482.0,38.36823685473173,56.78784115604979,강릉
