,시도,군구,선거인수,투표수,이재명,윤석열
143,경상남도,사천시,94303,71772,23424,44656
144,경상남도,김해시,444342,328521,150338,160401
145,경상남도,밀양시,92517,70249,21906,44881
146,경상남도,거제시,194074,145481,64355,71772
147,경상남도,의령군,24419,19089,5396,12625
148,경상남도,함안군,54570,41791,13504,26066
149,경상남도,창녕군,54037,41401,10934,28492
150,경상남도,양산시,294133,220501,92137,116904
151,경상남도,하동군,39640,32089,11218,18974
152,경상남도,남해군,38680,30297,10143,18503
153,경상남도,함양군,34459,26955,8526,16957
154,경상남도,산청군,31645,24913,7125,16607
155,경상남도,거창군,53049,41399,11963,27254
156,경상남도,합천군,39768,31270,6911,22742
157,경상북도,포항시북구,232070,183046,45053,130458
158,경상북도,포항시남구,197466,152184,38517,106712
159,경상북도,울릉군,8141,6653,1590,4815
160,경상북도,경주시,220573,173759,43031,123196
161,경상북도,김천시,120746,95575,22122,69272
162,경상북도,안동시,136307,106950,30870,71881
163,경상북도,구미시,338810,253211,67054,173950
164,경상북도,영주시,89380,70769,17937,50214
165,경상북도,영천시,91044,70942,14332,53537
166,경상북도,상주시,85100,68459,13660,51935
167,경상북도,문경시,63035,49720,9912,37738
168,경상북도,예천군,47677,39128,9147,28320
169,경상북도,경산시,230797,176406,40267,128158
170,경상북도,청도군,38816,30953,5654,24036
171,경상북도,고령군,27955,22270,3852,17464
172,경상북도,성주군,39491,32009,5775,24975
173,경상북도,칠곡군,96181,71492,17603,50468
174,경상북도,군위군,21784,18239,2511,15032
175,경상북도,의성군,47369,39245,6431,31176
176,경상북도,청송군,22793,18789,3716,14268
177,경상북도,영양군,14932,12337,2855,8968
178,경상북도,영덕군,32227,25897,4342,20611
179,경상북도,봉화군,28052,22707,5252,16451
180,경상북도,울진군,42282,33544,6888,25287
181,전라남도,목포시,183659,145187,125790,14936
182,전라남도,여수시,237455,189617,162006,21986
183,전라남도,순천시,235327,192412,162566,23709
184,전라남도,나주시,99117,81076,68994,9512
185,전라남도,광양시,126644,100876,81441,15843
186,전라남도,담양군,41698,34632,30076,3435
187,전라남도,장성군,38486,31666,27132,3566
188,전라남도,곡성군,25143,20717,17472,2380
189,전라남도,구례군,22770,19132,16137,2352
190,전라남도,고흥군,57414,47171,40466,5120
191,전라남도,보성군,35850,29323,25214,3102
192,전라남도,화순군,55122,45152,39327,4389
193,전라남도,장흥군,32712,27048,23565,2555
194,전라남도,강진군,30272,24960,21064,3010
195,전라남도,완도군,42767,35300,31062,3085
196,전라남도,해남군,59631,48441,42071,4690
197,전라남도,진도군,26802,21744,18692,2313
198,전라남도,영암군,46507,37333,31909,4092
199,전라남도,무안군,75012,61552,52983,6624
200,전라남도,영광군,45280,36321,30855,4056
201,전라남도,함평군,28435,23295,20467,2052
202,전라남도,신안군,35175,29213,25583,2742
203,전라북도,전주시완산구,285828,231447,188693,35152
204,전라북도,전주시덕진구,265049,215995,175845,32731
205,전라북도,군산시,225149,177339,144395,27400
206,전라북도,익산시,239340,189310,154719,28076
207,전라북도,정읍시,93594,75092,63487,9085
208,전라북도,남원시,69190,56509,47470,7163
209,전라북도,김제시,72285,58026,48952,7164
210,전라북도,완주군,78117,63481,52862,8443
211,전라북도,진안군,22568,18855,15637,2572
212,전라북도,무주군,21244,17429,13292,3426
213,전라북도,장수군,19371,16230,13564,2063
214,전라북도,임실군,24186,20057,16930,2416
215,전라북도,순창군,23847,19879,16980,2211
216,전라북도,고창군,47655,38707,33000,4335
217,전라북도,부안군,45702,36856,31037,4572
218,제주도,제주시,408552,296826,157695,122084
219,제주도,서귀포시,155802,112823,55435,50930
220,충청남도,천안시서북구,329610,238154,115553,110141
221,충청남도,천안시동남구,216193,157433,71851,77739
222,충청남도,공주시,91684,68872,28472,37339
223,충청남도,보령시,86253,65715,26207,36419
224,충청남도,아산시,265136,192927,93262,89998
225,충청남도,서산시,148201,108990,48642,54892
226,충청남도,태안군,55320,42028,16678,23511
227,충청남도,금산군,44799,33699,14002,18178
228,충청남도,논산시,100285,73512,33822,36203
229,충청남도,계룡시,34745,27992,11891,14718
230,충청남도,당진시,139481,100874,46903,49230
231,충청남도,부여군,57573,43975,16813,25136
232,충청남도,서천군,45997,35136,15443,18168
233,충청남도,홍성군,84379,62416,25860,33581
234,충청남도,청양군,27754,21588,7688,12932
235,충청남도,예산군,69064,51349,16904,32098
236,충청북도,청주시상당구,162949,122198,55852,59685
237,충청북도,청주시서원구,165206,124726,56323,61745
238,충청북도,청주시흥덕구,223335,163683,76940,77952
239,충청북도,청주시청원구,159671,117836,56679,54855
240,충청북도,충주시,180976,135848,58801,70382
241,충청북도,제천시,114317,87091,36442,46482
242,충청북도,단양군,25748,20193,7271,11969
243,충청북도,영동군,41165,31795,12029,18238
244,충청북도,보은군,28971,22717,8757,12754
245,충청북도,옥천군,44671,34242,14138,18241
246,충청북도,음성군,80946,58316,26700,28700
247,충청북도,진천군,71306,51932,25402,23759
248,충청북도,괴산군,34819,27419,10304,15895
249,충청북도,증평군,30953,22653,10215,11264
